TestInput (number),Runtime (seconds),Model (constants)
1,0.015052556991577148,[['UNSAT']]
2,0.008673906326293945,"[['x', -3]]"
3,0.006613731384277344,"[['x', -1]]"
4,0.005933046340942383,"[['x', 2]]"
5,0.02043318748474121,[['UNSAT']]
6,0.007676362991333008,[['UNSAT']]
7,0.05290055274963379,[['UNSAT']]
8,0.01216745376586914,"[['x', 1]]"
9,0.014625787734985352,"[['x', -2]]"
10,0.00694727897644043,"[['x', -1]]"
11,0.00699925422668457,[['UNSAT']]
12,0.15802574157714844,[['UNSAT']]
13,0.044237375259399414,[['UNSAT']]
14,0.014414310455322266,"[['x', 3], ['y', -3]]"
15,0.028998374938964844,"[['x', 1], ['y', -2]]"
16,0.543797492980957,[['UNKNOWN (ERROR)']]
17,0.6420543193817139,[['UNKNOWN (ERROR)']]
18,0.03598833084106445,"[['x', -3], ['y', -3]]"
19,0.0058019161224365234,"[['x', 1], ['y', -2]]"
20,0.35382556915283203,[['UNKNOWN (ERROR)']]
21,0.3765721321105957,[['UNKNOWN (ERROR)']]
22,0.028949975967407227,[['UNSAT']]
23,0.2726764678955078,[['UNKNOWN (ERROR)']]
24,0.05475258827209473,"[['x', 2], ['y', -4], ['z', 2]]"
25,0.03561115264892578,"[['x', 2], ['y', -4], ['z', 5]]"
26,0.06441640853881836,"[['x', 4], ['y', -4], ['z', 1]]"
27,0.010537862777709961,"[['x', 0], ['y', 2], ['z', 0]]"
28,1.509378433227539,[['UNKNOWN (ERROR)']]
29,1.396155834197998,[['UNKNOWN (ERROR)']]
30,1.4501752853393555,[['UNKNOWN (ERROR)']]
Total: 30,Total: 7.184392690658569,"Total: 14 SAT, 8 UNSAT, 8 UNKNOWN"
