TestInput (number),Runtime (seconds),Model (constants)
1,10.018924951553345,[['UNKNOWN (TIMEOUT)']]
2,0.17967629432678223,"[['x', -4]]"
3,0.013789892196655273,"[['x', -1]]"
4,0.010069131851196289,"[['x', 2]]"
5,10.071677684783936,[['UNKNOWN (TIMEOUT)']]
6,10.2378089427948,[['UNKNOWN (TIMEOUT)']]
7,10.323962688446045,[['UNKNOWN (TIMEOUT)']]
8,0.1499779224395752,"[['x', 4]]"
9,0.0067098140716552734,"[['x', -2]]"
10,0.008990764617919922,"[['x', 6]]"
11,10.024749755859375,[['UNKNOWN (TIMEOUT)']]
12,10.281596422195435,[['UNKNOWN (TIMEOUT)']]
13,10.525200366973877,[['UNKNOWN (TIMEOUT)']]
14,0.7442750930786133,"[['x', -2], ['y', -4]]"
15,0.010729551315307617,"[['x', 1], ['y', -2]]"
16,10.52552843093872,[['UNKNOWN (TIMEOUT)']]
17,12.404680967330933,[['UNKNOWN (TIMEOUT)']]
18,0.24465465545654297,"[['x', 0], ['y', 0]]"
19,0.0062983036041259766,"[['x', 0], ['y', 0]]"
20,10.099168539047241,[['UNKNOWN (TIMEOUT)']]
21,10.377790451049805,[['UNKNOWN (TIMEOUT)']]
22,0.19250726699829102,[['UNSAT']]
23,10.148447751998901,[['UNKNOWN (TIMEOUT)']]
24,0.21743321418762207,"[['x', 2], ['y', -4], ['z', 2]]"
25,0.0319826602935791,"[['x', 2], ['y', -4], ['z', 5]]"
26,0.0634918212890625,"[['x', 4], ['y', -4], ['z', 1]]"
27,0.009266853332519531,"[['x', 0], ['y', 2], ['z', 0]]"
28,10.10206937789917,[['UNKNOWN (TIMEOUT)']]
29,10.366722583770752,[['UNKNOWN (TIMEOUT)']]
30,10.973324537277222,[['UNKNOWN (TIMEOUT)']]
Total: 30,Total: 158.371506690979,"Total: 14 SAT, 1 UNSAT, 15 UNKNOWN"
