TestInput (number),Runtime (seconds),Model (constants)
1,0.004044532775878906,[['UNSAT']]
2,0.003171205520629883,"[['x', -3]]"
3,0.003090381622314453,"[['x', 5]]"
4,0.0025594234466552734,"[['x', 6]]"
5,0.003244638442993164,[['UNSAT']]
6,0.0032291412353515625,[['UNSAT']]
7,0.002430438995361328,[['UNSAT']]
8,0.0030405521392822266,"[['x', 4]]"
9,0.002767324447631836,"[['x', 7]]"
10,0.0031943321228027344,"[['x', 6]]"
11,0.012171268463134766,[['UNSAT']]
12,0.0025358200073242188,[['UNSAT']]
13,0.012639760971069336,[['UNSAT']]
14,0.003045797348022461,"[['x', 5], ['y', 0]]"
15,0.004462718963623047,"[['x', 1], ['y', -2]]"
16,0.002534627914428711,[['UNSAT']]
17,0.0058023929595947266,[['UNSAT']]
18,0.0023882389068603516,"[['x', 0], ['y', 0]]"
19,0.002973794937133789,"[['x', 0], ['y', 0]]"
20,10.038849115371704,[['UNKNOWN (TIMEOUT)']]
21,10.038952827453613,[['UNKNOWN (TIMEOUT)']]
22,0.0018658638000488281,[['UNSAT']]
23,10.009124517440796,[['UNKNOWN (TIMEOUT)']]
24,0.0020165443420410156,"[['z', -6], ['x', 0], ['y', 0]]"
25,0.0018017292022705078,"[['z', 0], ['x', 3], ['y', -6]]"
26,0.0022983551025390625,"[['z', 0], ['x', 4], ['y', -5]]"
27,0.002915620803833008,"[['z', 0], ['x', -7], ['y', 9]]"
28,10.108467817306519,[['UNKNOWN (TIMEOUT)']]
29,10.070084810256958,[['UNKNOWN (TIMEOUT)']]
30,0.003513336181640625,"[['x', -1], ['y', 12], ['z', -19]]"
Total: 30,Total: 50.359216928482056,"Total: 15 SAT, 10 UNSAT, 5 UNKNOWN"
