TestInput (number),Runtime (seconds),Model (constants)
1,0.009738683700561523,[['UNSAT']]
2,0.004689931869506836,"[['x', (- 3)]]"
3,0.0046539306640625,"[['x', (- 1)]]"
4,0.003083467483520508,"[['x', 2]]"
5,0.0050084590911865234,[['UNSAT']]
6,0.005889177322387695,[['UNSAT']]
7,0.0027704238891601562,[['UNSAT']]
8,0.003085613250732422,"[['x', 1]]"
9,0.0021355152130126953,"[['x', (- 2)]]"
10,0.0034897327423095703,"[['x', (- 1)]]"
11,20.351661920547485,[['UNKNOWN (TIMEOUT)']]
12,21.222630262374878,[['UNKNOWN (TIMEOUT)']]
13,20.480220317840576,[['UNKNOWN (TIMEOUT)']]
14,1.4683218002319336,"[['x', 1], ['y', 7]]"
15,0.050256967544555664,"[['x', 1], ['y', (- 4)]]"
16,0.22584271430969238,[['UNSAT']]
17,0.17657947540283203,[['UNSAT']]
18,0.00861048698425293,"[['x', 0], ['y', 0]]"
19,0.0033049583435058594,"[['x', 0], ['y', 0]]"
20,0.1139688491821289,[['UNSAT']]
21,20.053287982940674,[['UNKNOWN (TIMEOUT)']]
22,0.30635833740234375,[['UNSAT']]
23,20.065592527389526,[['UNKNOWN (TIMEOUT)']]
24,0.4074223041534424,"[['x', 1], ['y', 0], ['z', 6]]"
25,0.004138469696044922,"[['x', 8], ['y', (- 1)], ['z', 50]]"
26,0.004486799240112305,"[['x', (- 1)], ['y', (- 1)], ['z', (- 61)]]"
27,0.006260871887207031,"[['x', 3], ['y', (- 1)], ['z', 0]]"
28,20.22025156021118,[['UNKNOWN (TIMEOUT)']]
29,21.801506519317627,[['UNKNOWN (TIMEOUT)']]
30,22.012640953063965,[['UNKNOWN (TIMEOUT)']]
Total: 30,Total: 169.0278890132904,"Total: 14 SAT, 8 UNSAT, 8 UNKNOWN"
